model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
M391A5143EB1-CPB,DIMM,N/A,ECC,4 GiByte,"1Rx8, 9 ICs, Single-die package",4 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A5143EB1-CRC,DIMM,N/A,ECC,4 GiByte,"1Rx8, 9 ICs, Single-die package",4 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1G40EB1-CPB,DIMM,Registered,ECC,8 GiByte,"1Rx4, 18 ICs, Single-die package",4 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1G40EB1-CRC,DIMM,Registered,ECC,8 GiByte,"1Rx4, 18 ICs, Single-die package",4 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1G40EB2-CTD,DIMM,Registered,ECC,8 GiByte,"1Rx4, 18 ICs, Single-die package",4 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1G43EB1-CPB,DIMM,Registered,ECC,8 GiByte,"2Rx8, 18 ICs, Single-die package",4 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1G43EB1-CRC,DIMM,Registered,ECC,8 GiByte,"2Rx8, 18 ICs, Single-die package",4 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1G43EB1-CTD,DIMM,Registered,ECC,8 GiByte,"2Rx8, 18 ICs, Single-die package",4 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1K43BB0-CPB,DIMM,Registered,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1K43BB0-CRC,DIMM,Registered,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A1K43BB1-CTD,DIMM,Registered,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A2G40EB1-CPB,DIMM,Registered,ECC,16 GiByte,"2Rx4, 36 ICs, Single-die package",4 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
